id,VaR
0,-0.280277319472456
1,-0.283361883517956
2,-0.294516800809129
3,-0.29301483409617
4,-0.291215189684145
5,-0.29211444025082
6,-0.289273040790339
7,-0.289334412753653
8,-0.288865285477137
9,-0.28823997391854
10,-0.287334179783987
11,-0.292847190254264
12,-0.292515172424003
13,-0.284462176093235
14,-0.285698390600516
15,-0.287163095631131
16,-0.28530336044101
17,-0.288027533714976
18,-0.291567898419616
19,-0.290648675508809
20,-0.319835172840263
21,-0.316062491883336
22,-0.314818056226443
23,-0.311783049654685
24,-0.308018839638984
25,-0.305888724603963
26,-0.306987052538834
27,-0.308281229229328
28,-0.303813725190571
29,-0.305541458906532
30,-0.305725491601574
31,-0.30557654721118
32,-0.305595359048063
33,-0.308352191364097
34,-0.312025858862074
35,-0.313586661471722
36,-0.314770445681344
37,-0.31754259582397
38,-0.314447685464194
39,-0.316661270132414
40,-0.323931284736308
41,-0.330585389209841
42,-0.328496285916846
43,-0.330858079478802
44,-0.337406571711483
45,-0.334136703892189
46,-0.334164151104158
47,-0.336064788808403
48,-0.342278620555037
49,-0.434103020687185
50,-0.426538573316339
51,-0.443071035734503
52,-0.445456942209508
53,-0.454445041012129
54,-0.503457308075011
55,-0.503951665045362
56,-0.490000459045636
57,-0.494219184853442
58,-0.492862958549286
59,-0.488839615552442
60,-0.495056683322116
61,-0.492463659925152
62,-0.488066709794454
63,-0.475524502066805
64,-0.47145734638114
65,-0.471494980780017
66,-0.468514568395042
67,-0.470167970926535
68,-0.467356096342606
69,-0.463429174929808
70,-0.462438545807802
71,-0.454834406883775
72,-0.467581574924141
73,-0.472540790820554
74,-0.456404075433504
75,-0.457290108785814
76,-0.453935800182576
77,-0.458792320880865
78,-0.45183472103857
79,-0.455489341500089
80,-0.443350035859891
81,-0.42795533976987
82,-0.427468320835923
83,-0.410267514671994
84,-0.401782454600913
85,-0.410098961863242
86,-0.415527797012908
87,-0.427909963121522
88,-0.418453934312374
89,-0.43272662921793
90,-0.432508583613235
91,-0.426783313809842
92,-0.425515700029572
93,-0.413581217389254
94,-0.407598810359618
95,-0.411745757558159
96,-0.420121922459312
97,-0.428562791046188
98,-0.434412010085037
99,-0.434564359689314
100,-0.3260300931834
101,-0.329831638709796
102,-0.346279045776816
103,-0.345633015888285
104,-0.347086704985405
105,-0.350056667071297
106,-0.346829330963478
107,-0.344096529302971
108,-0.339611332562121
109,-0.337247570910196
110,-0.336183997313415
111,-0.351201989288986
112,-0.352805030479796
113,-0.349536143237819
114,-0.352895078581206
115,-0.353921123443075
116,-0.352000181729478
117,-0.349525458492205
118,-0.34802493756394
119,-0.348696031158071
120,-0.378242511978573
121,-0.378294290337469
122,-0.377344855177384
123,-0.377733368306984
124,-0.372892024527021
125,-0.371255755502581
126,-0.369618617263405
127,-0.369160324394129
128,-0.36906517803945
129,-0.372726982952163
130,-0.373319492686213
131,-0.374121577190533
132,-0.374670389876339
133,-0.378713240052522
134,-0.380700997204464
135,-0.380182922863274
136,-0.378995107806001
137,-0.375864864086211
138,-0.37359109070991
139,-0.373740175395474
140,-0.370198867072182
141,-0.368701541566211
142,-0.368727091644967
143,-0.367119243681323
144,-0.369485297089941
145,-0.369530354619483
146,-0.371617908777149
147,-0.372367615590983
148,-0.374408886356619
149,-0.377260017786081
150,-0.374953622575542
151,-0.37410178010338
152,-0.367366011945883
153,-0.369512494753337
154,-0.381959370241446
155,-0.389838289178618
156,-0.392524880447712
157,-0.39351978830614
158,-0.393102376874582
159,-0.37361513509749
160,-0.37480364919701
161,-0.376259937154252
162,-0.380320751679558
163,-0.382814385473262
164,-0.38481487584514
165,-0.38207658814449
166,-0.387637516244772
167,-0.392135882534094
168,-0.392635511266963
169,-0.380101330569125
170,-0.381890470010016
171,-0.385879352615647
172,-0.385321173191941
173,-0.385298319660053
174,-0.385273163914893
175,-0.387112053604812
176,-0.384960362409588
177,-0.381817831644994
178,-0.383539166796646
179,-0.390274291250251
180,-0.387966414477295
181,-0.38837214509627
182,-0.385907498653412
183,-0.385397465139304
184,-0.387009436039125
185,-0.385536020765395
186,-0.3906780326537
187,-0.396353683375677
188,-0.347679060095193
189,-0.352421504886716
190,-0.34797179610967
191,-0.348045200157495
192,-0.348380966607127
193,-0.353170680049065
194,-0.34705279555948
195,-0.34294018939211
196,-0.348094853963902
197,-0.343748076317405
198,-0.339994412574163
199,-0.338114347195103
200,-0.249603739115948
201,-0.248122237319488
202,-0.249480924498941
203,-0.249519114189148
204,-0.259532767997325
205,-0.257648405464971
206,-0.254826555288935
207,-0.257357419616084
208,-0.259511256848199
209,-0.261643181789757
210,-0.261374149409659
211,-0.262158755489674
212,-0.262367816853654
213,-0.262248457103164
214,-0.256294140105304
215,-0.25511538571563
216,-0.253002944420423
217,-0.254984432132655
218,-0.256504797373976
219,-0.256269292190131
220,-0.260914784462796
221,-0.261375062687051
222,-0.261355102150121
223,-0.264819437990546
224,-0.264663091148626
225,-0.269610912341833
226,-0.269852304767702
227,-0.269952684691311
228,-0.269853574502805
229,-0.264261744206294
230,-0.265158945712905
231,-0.265112450816507
232,-0.264561001803674
233,-0.264233311139679
234,-0.264978380276393
235,-0.264695321117477
236,-0.264986844119455
237,-0.271911635699967
238,-0.274088652743296
239,-0.274300880654078
240,-0.275089060882997
241,-0.275130053471401
242,-0.271008532076321
243,-0.269912679466513
244,-0.267948789688815
245,-0.272109406299727
246,-0.267524388381299
247,-0.267121619501725
248,-0.266257973197079
249,-0.265103850519006
250,-0.265235378758288
251,-0.265549005552118
252,-0.264017411592776
253,-0.263529055431334
254,-0.281991953553131
255,-0.281222600953428
256,-0.281271050075445
257,-0.280860912498792
258,-0.280489458729121
259,-0.276767258482366
260,-0.276787672955552
261,-0.277811502274077
262,-0.274489430288358
263,-0.274031380220247
264,-0.274003474547219
265,-0.274370560954061
266,-0.273080307220131
267,-0.272630583871725
268,-0.271977199882955
269,-0.265047957395296
270,-0.264466439631149
271,-0.266975076214851
272,-0.265820913044774
273,-0.265746559123967
274,-0.265559649834734
275,-0.266169996773843
276,-0.265218380323685
277,-0.268904120132386
278,-0.268828896430564
279,-0.26648638078245
280,-0.263224330766838
281,-0.262902171231352
282,-0.263701513957196
283,-0.261323640330054
284,-0.263249719891486
285,-0.264810604672962
286,-0.265271381946583
287,-0.266540816928619
288,-0.267027573265194
289,-0.267267254969317
290,-0.266890419239727
291,-0.267364856919789
292,-0.268035832342307
293,-0.267204776782143
294,-0.267222998967434
295,-0.267442892228686
296,-0.267757710640407
297,-0.267840128382286
298,-0.261494456826655
299,-0.26023582189197
